,Comune,Come dici grembiule?,Come dici maiale?,Come dici ciabatta?,Come dici orologio?,Come dici cotechino grigliato?,Come dici tasca?,Come dici ragnatela?,Come dici talpa?,Come dici coperchio?,Come dici Fiammifero?,Come dici Imbuto?,Come dici Roncola?,Come dici Pop Corn?,Come dici Sasso?,Come dici Gallina?,Come dici Albicocca?,Come dici Briciole?,Come dici Panettiere?,Come dici Macellaio?,Come dici Libellula?,Come dici Pettegola?,Come dici Scapolo?,Come dici l'Asso di Bastoni?,Come dici l'Asso di Coppe?,Come dici Ombelico?,Come dici Bagnato?,Come dici l'Asso di Ori?,Come dici l'Asso di Spade?,Come dici Fradicio?
15,Aviatico,Nessun Dato,Porsèl,Nessun Dato,Nessun Dato,Nessun Dato,Scarsèla,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Podet,Nessun Dato,Plòch,Poia,Bignaga,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
16,Azzano San Paolo,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pighess,culumbine,Sàss,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
17,Azzone,bigaröl,Pursèl,sibra,Nessun Dato,Strinù,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Corlass,Nessun Dato,Nessun Dato,Poia,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Pötvecc,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
18,Bagnatica,scossalina,Sunì,sibra,Leròi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,méche,Plòch,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
19,Barbata,scussàl,Pursèl,saàta,Nessun Dato,Salamèla,Sacòcia,Nessun Dato,tópa,Coèrcc,Fiamifer,Pedriöl,Nessun Dato,Nessun Dato,Plòch,Galina,Mignaga,Fregói,Prestinér,Macelér,scanaöcc,petònega,Pöt,l'ass de bastù,l'ass de coppe,bigol,Méss,la bola,l'ass de spade,Maserét
20,Bariano,bigaröla,Roi,sébra,Orolòi,Cudeghì,Sacòcia,Talamora,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Galina,Mignaga,Fregoie,Prestinér,Macelér,Nessun Dato,petònega,Pöt,l'ass de bastù,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
21,Barzana,bigarla,Ciù,sibra,Orolòi,Codeghì,Sacòcia,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pigassa,colombine,Sàss,Poia,Bignaga,Gandaie,Fornér,Bechér,becaöcc,petònega,Barba,ol vincerai,ol pisì,butù,Bagnàt,ol borla,l'ass de spade,Maserét
22,Bedulita,scossàl,Sunì,sibra,Relòi,Codeghì,Gaiòfa,Telemora,tópa,Coèrcc,Solfanèl,Pedriöl,Pegazza,Sciüpú,Sàss,Galina,Mögnaga,Gandài,Fornér,Macelér,becaöcc,Meda,Barbì,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Maserét
23,Berbenno,bigaröl,Porsèl,sébra,Leròi,Codeghì,Gaiòfa,Telemora,tópa,Coèrcc,Fiamifer,Pedriöl,Corlass,Sciupu',Sàss,Galina,Albicòch,Gandài,Fornér,Macelér,Nessun Dato,petònega,Barba,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Maserét
24,Bergamo,bigaröla,Sunì,sibra,Orolòi,Strinù,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Sàss,Poia,Bignaga,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
25,Berzo San Fermo,scossalina,Sunì,sibra,Leròi,Strinù,Scarsèla,Nessun Dato,topinéra,Coèrcc,Solferì,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Fregói,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,l'ass de coppe,bigol,Bagnàt,la burlina,l'ass de spade,Bagnàt
26,Bianzano,bigarlì,Sunì,söbra,Leròi,Strinù,carsèla,Nessun Dato,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Bignaga,Fregoie,Fornér,Macelér,becaöcc,petònega,Pötvecc,Nessun Dato,Nessun Dato,bigol,Méss,Nessun Dato,Nessun Dato,Bagnàt
27,Blello,bigaröl,Porsèl,Nessun Dato,Leròi,Codeghì,Gaiòfa,Telemora,tópa,Coèrcc,Fiamifer,Pedriöl,Corlass,s-ciopu,Sàss,Galina,Mignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Barba,ol vincerai,ol pisalobia,butù,Bagnàt,l'ass de ori,ol taiamerde,Maserét
28,Bolgare,scossalina,Sunì,söbra,Leròi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,Scutí,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,scanaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,la borla,l'ass de spade,Bagnàt
29,Boltiere,bigaröla,Porsèl,sibra,Orolòi,Codeghì,Sacòcia,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Migole,Prestinér,Macelér,scanaöcc,zabèta,Marèll,l'ass de bastù,ol pisì,butù,Bagnàt,padéla ,l'ass de spade,Maserét
30,Bonate Sopra,bigaröla,Sunì,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,ol pisì,butù,Bagnàt,ol borla,l'ass de spade,Maserét
31,Bonate Sotto,scussàl,Pursèl,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Gandaie,Fornér,Macelér,scanaöcc,petònega,Barba,ol vincerai,ol pisì,butù,Bagnàt,ol borla,l'ass de spade,Maserét
